release_date,variable,month_1,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12,month_13,month_14,month_15,month_16,month_17,month_18,month_19,month_20,month_21,month_22,month_23,month_24
2_2026,24MS MAX PROB,273611.175,277937.603,392404.772,927320.419,1747813.21,2267162.67,964049.079,642273.784,591751.841,604635.95,512538.064,461076.836,483894.628,481472.554,627442.039,982884.415,2510755.19,2799887.15,1247327.37,611902.913,557428.927,559808.164,517982.962,455649.917
2_2026,24MS MIN PROB,273611.175,263178.915,319970.371,206462.963,321338.006,372606.823,282231.484,304427.355,312593.614,396089.168,407695.79,350025.847,329886.801,363793.056,496985.956,604623.006,1276180.14,1250086.46,422994.002,376558.388,349886.876,390804.298,393366.211,374633.847
2_2026,24MS MOST PROB,273611.175,263178.915,319672.851,338539.535,626696.014,701338.693,376643.29,324472.347,332742.996,378359.367,392586.232,383543.847,367305.639,398481.722,530887.804,762761.026,1811175.95,1884322.91,709683.466,503580.521,424127.231,474009.25,470539.329,422287.847
2_2026,ESP Min,273611.175,260640.0,310630.0,211210.0,338970.0,362310.0,304700.0,314440.0,306380.0,397640.0,409290.0,351940.0,331330.0,400130.0,489520.0,600450.0,1392340.0,1262800.0,426050.0,368590.0,344560.0,387860.0,388540.0,360860.0
2_2026,ESP Most,273611.175,270570.0,310630.0,331350.0,697020.0,679350.0,406730.0,345740.0,330750.0,363230.0,381290.0,381980.0,397470.0,424010.0,503590.0,732430.0,1783990.0,1825760.0,702770.0,486270.0,433980.0,456230.0,451590.0,480400.0
